0217e,1rb1k2r/b5p1/p2pPp1p/qp1n4/7N/1P6/P4PPP/R1BQR1K1 w k - 0 19,d1d5 a5e1,516,98,85,1103,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/YaZroWoF#37,Italian_Game Italian_Game_Anti-Fried_Liver_Defense
024qY,r4r1k/pp4pp/4Q1p1/2P5/3B4/2P2Pq1/P2n2P1/R4RK1 b - - 2 23,a8e8 e6d7 d2f3 f1f3 e8e1 a1e1 g3e1 g1h2,2071,75,94,2159,advantage middlegame veryLong,https://lichess.org/uituZtqb/black#46,
0257T,r2qnr1k/pppb2pp/2n2b1B/3NN3/8/P5QP/1PP1B1P1/R4RK1 b - - 0 18,f6e5 f1f8,1477,77,93,8172,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/j2ohZNAv/black#36,Vienna_Game Vienna_Game_Omaha_Gambit
02IX7,2R5/8/3k2p1/5p1p/4b2P/1K4P1/8/8 w - - 1 50,c8g8 e4d5 b3c3 d5g8,747,99,94,600,crushing endgame fork master short,https://lichess.org/GKdqHfbY#99,
02Km7,5rk1/6p1/8/1r6/4P1B1/5pKP/5P2/4R3 b - - 5 43,b5b3 g4e6 g8h7 e6b3,771,80,97,1100,crushing endgame fork short,https://lichess.org/COHwfINT/black#86,
02MxE,8/bp1N3r/2p1k2p/3n1p2/7B/3B4/P4PPP/1N4K1 b - - 0 26,e6d7 d3f5 d7e8 f5h7,818,97,86,279,crushing endgame fork short,https://lichess.org/isHktToS/black#52,
02PuU,Bn3k2/6p1/n1p1P2p/3p4/pr3p2/R4P1P/5BP1/6K1 b - - 5 39,a6c7 f2c5 f8g8 c5b4,1037,78,93,541,crushing endgame fork short,https://lichess.org/UM49R23y/black#78,
02Q9X,3rr1k1/2p2pp1/1q5p/1pbBpP2/7P/2P2Q2/1P3PP1/3RR1K1 b - - 1 32,d8d6 b2b4 d6d5 d1d5,2223,87,69,33,advantage master middlegame short,https://lichess.org/2N2uiWJv/black#64,
02THe,3rrR1k/8/p4P1p/1p2BB1b/1P3P2/2PP4/p1NK4/8 b - - 1 36,e8f8 f6f7,819,84,84,498,advancedPawn discoveredAttack endgame master mate mateIn1 oneMove,https://lichess.org/57RBWuvi/black#72,
02YaB,6k1/1p4bp/prn3p1/5p2/4p3/P3P1NP/4B1P1/2R3K1 b - - 1 27,b6b3 e2c4 g8h8 c4b3,1005,84,83,42,advantage endgame fork short,https://lichess.org/Jkw92my4/black#54,
02Zr8,2k5/p1p2ppp/2R5/8/8/6Pb/PPQ1qb1P/R5K1 w - - 0 22,g1h1 e2f3,1141,75,98,1158,endgame mate mateIn1 oneMove,https://lichess.org/YQb8WYQb#43,
